"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"46823",0.7,75,1951,0.3,115.170239737783,0.156290375402433,0
"46825",1,10,1952,0,105.268638924629,0.183657103680958,0
"46827",0.9,10,1952,0.1,119.601490844519,0.153286829485819,0
"46828",0.85,10,1952,0.15,56.413474554857,0.254076414304682,0
"46829",0.8,10,1952,0.2,81.8892608419385,0.219809042460043,0
"46830",0.75,10,1952,0.25,106.5576449541,0.162666257716347,0
"46833",1,30,1952,0,102.738187511445,0.204403060913068,0
"46834",0.95,30,1952,0.05,90.7753482331917,0.198291720737656,0
"46835",0.9,30,1952,0.1,130.666233373908,0.155612760991688,0
"46836",0.85,30,1952,0.15,82.1322227371424,0.239451289777812,0
"46837",0.8,30,1952,0.2,50.7560481051402,0.282396559000064,0
"46843",0.9,75,1952,0.1,60.4235022791117,0.303413947327637,0
"46844",0.85,75,1952,0.15,106.557644988089,0.162666257643538,0
"46846",0.75,75,1952,0.25,97.8887535852171,0.190692658584398,0
"46847",0.7,75,1952,0.3,112.915026221291,0.177124344467706,0
"46848",0.65,75,1952,0.35,106.557644990951,0.162666257637407,0
"46849",1,10,1953,0,120.827934107427,0.171042125476483,0
"46851",0.9,10,1953,0.1,91.651074131887,0.207307990440582,0
"46852",0.85,10,1953,0.15,90.3320209770335,0.177124344467705,0
"46853",0.8,10,1953,0.2,93.9919422601465,0.184412971154926,0
"46857",1,30,1953,0,83.9283968524829,0.20652525229707,0
"46858",0.95,30,1953,0.05,65.185105008123,0.291477631241598,0
"46860",0.85,30,1953,0.15,83.0997693997371,0.196550886384981,0
"46863",0.7,30,1953,0.3,101.623523571317,0.177124344538018,0
"46865",1,75,1953,0,97.3541775935418,0.219131154675774,0
"46866",0.95,75,1953,0.05,95.0261068125334,0.203452861343398,0
"46867",0.9,75,1953,0.1,82.132222737143,0.239451289777809,0
"46868",0.85,75,1953,0.15,106.557644983121,0.16266625765418,0
"46869",0.8,75,1953,0.2,109.058518593531,0.180331320471951,0
"46873",1,10,1954,0,93.6006875039654,0.249285918250812,0
"46874",0.95,10,1954,0.05,106.156111805906,0.200961894479092,0
"46875",0.9,10,1954,0.1,86.004583261971,0.251924558493235,0
"46876",0.85,10,1954,0.15,91.6510741319067,0.207307990440512,0
"46877",0.8,10,1954,0.2,97.8887536191471,0.190692658550415,0
"46880",0.65,10,1954,0.35,78.4282845656821,0.255010040201127,0
"46881",1,30,1954,0,158.050605396533,0.132868836203812,0
"46883",0.9,30,1954,0.1,112.809631434134,0.186154317969395,0
"46884",0.85,30,1954,0.15,105.550363167019,0.173692754661234,0
"46885",0.8,30,1954,0.2,90.2871947528478,0.1882880518039,0
"46889",1,75,1954,0,108.839112683518,0.245009960198858,0
"46892",0.85,75,1954,0.15,80.3667185828458,0.232268618227889,0
"46893",0.8,75,1954,0.2,109.058518525596,0.18033132063586,0
"46897",1,10,1955,0,128.713909495627,0.147614193948362,0
"46900",0.85,10,1955,0.15,94.5437451680804,0.239747924374795,0
"46903",0.7,10,1955,0.3,109.058518593572,0.180331320471886,0
