"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"345","30-60","0.06-0.08",0.2,"2-3",0.203389830508475,0.796610169491525
"346","30-60","0.06-0.08",0.2,"3-4",0.0869565217391304,0.91304347826087
"347","30-60","0.06-0.08",0.2,"4-5",0.0344827586206897,0.96551724137931
"348","30-60","0.06-0.08",0.2,"5-10",0.0727272727272727,0.927272727272727
"349","30-60","0.06-0.08",0.2,"10-20",0.0141509433962264,0.985849056603774
"350","30-60","0.06-0.08",0.2,"20-30",0,1
"351","30-60","0.06-0.08",0.2,"30-40",0,1
"352","30-60","0.06-0.08",0.2,"40-50",0,1
"353","30-60","0.06-0.08",0.25,"2-3",0.215686274509804,0.784313725490196
"354","30-60","0.06-0.08",0.25,"3-4",0,1
"355","30-60","0.06-0.08",0.25,"4-5",0.0454545454545455,0.954545454545455
"356","30-60","0.06-0.08",0.25,"5-10",0,1
"357","30-60","0.06-0.08",0.25,"10-20",0.008,0.992
"358","30-60","0.06-0.08",0.25,"20-30",0,1
"359","30-60","0.06-0.08",0.25,"30-40",0,1
"360","30-60","0.06-0.08",0.25,"40-50",0,1
"361","30-60","0.08-0.1",0.05,"2-3",0.636363636363636,0.363636363636364
